time,weathercode (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),precipitation_sum (mm),precipitation_hours (h)
2017-08-18,2,23.1,21.4,0.00,0.0
2017-08-19,3,23.7,22.1,0.00,0.0
2017-08-20,1,24.9,25.5,0.00,0.0
2017-08-21,2,23.6,26.0,0.00,0.0
2017-08-22,2,23.5,25.1,0.00,0.0
2017-08-23,2,22.9,22.2,0.00,0.0
2017-08-24,3,21.4,20.4,0.00,0.0
2017-08-25,2,21.3,19.9,0.00,0.0
2017-08-26,2,22.7,22.2,0.00,0.0
2017-08-27,2,20.4,21.5,0.00,0.0
2017-08-28,53,19.4,20.2,1.20,5.0
2017-08-29,51,19.9,20.1,0.30,1.0
2017-08-30,2,20.9,21.0,0.00,0.0
2017-08-31,1,21.2,20.1,0.00,0.0
